transaction_id,account_id,transaction_amount,avg_daily_amount,transaction_time,recipient_id,is_known_contact,destination_country,account_type,declared_income,prior_risk_score,transactions_last_hour
TX001,1001,78000000,1248000,10:25,6008,FALSE,Nigeria,Business,11000000,0.95,13
TX002,1002,136000000,1768000,18:55,4007,FALSE,Mexico,Personal,19000000,0.91,15
TX003,1003,107000000,1712000,03:01,10009,TRUE,Syria,Business,15500000,0.24,12
TX004,1004,38000000,494000,20:36,9004,FALSE,Zimbabwe,Personal,12000000,0.25,18
TX005,1005,129000000,2451000,21:31,8003,TRUE,Syria,Personal,2500000,0.51,16
TX006,1006,12000000,72000,19:29,5005,FALSE,Zimbabwe,Business,7000000,0.86,11
TX007,1007,119000000,1785000,22:04,9002,TRUE,Myanmar,Personal,15500000,0.88,15
TX008,1008,32000000,480000,20:22,2003,TRUE,Iran,Business,15500000,0.37,12
TX009,1009,89000000,1780000,15:00,7008,TRUE,Afghanistan,Personal,17500000,0.70,19
TX010,1010,126000000,630000,23:04,2001,FALSE,Syria,Business,11000000,0.29,12
TX011,1011,57000000,969000,10:33,2003,TRUE,North Korea,Personal,14000000,0.87,3
TX012,1012,49000000,490000,21:51,10009,FALSE,Myanmar,Business,9500000,0.42,7
TX013,1013,23000000,368000,16:16,6005,FALSE,Panama,Personal,10500000,0.59,0
TX014,1014,113000000,1017000,19:54,7005,TRUE,Nigeria,Business,7000000,0.20,7
TX015,1015,27000000,270000,03:21,6005,TRUE,Japan,Personal,3500000,0.50,9
TX016,1016,132000000,1848000,12:38,9006,FALSE,Philippines,Personal,17000000,0.43,19
TX017,1017,66000000,330000,05:41,9005,FALSE,Nigeria,Personal,9000000,0.70,9
TX018,1018,164000000,984000,14:26,8009,TRUE,Myanmar,Business,18000000,0.43,19
TX019,1019,69000000,621000,15:31,5002,FALSE,Malaysia,Personal,18000000,0.89,20
TX020,1020,126000000,1638000,13:20,9005,TRUE,United Arab Emirates (UAE),Personal,11500000,0.86,2
TX021,1021,130000000,1950000,03:14,4005,FALSE,Iran,Personal,8500000,0.63,9
TX022,1022,10000000,190000,17:37,6003,FALSE,South Africa,Personal,16500000,0.60,1
TX023,1023,77000000,1309000,17:45,4008,TRUE,Russia,Business,13000000,0.96,5
TX024,1024,170000000,3400000,18:28,7009,FALSE,Pakistan,Personal,3500000,0.30,5
TX025,1025,158000000,1896000,02:20,3005,FALSE,Pakistan,Personal,10500000,0.64,13
TX026,1026,142000000,2272000,04:15,10001,TRUE,Myanmar,Business,11000000,0.49,10
TX027,1027,143000000,2002000,22:16,3006,TRUE,South Africa,Personal,9000000,0.46,9
TX028,1028,175000000,2275000,15:46,7006,TRUE,North Korea,Personal,16500000,0.73,6
TX029,1029,132000000,2640000,20:35,2004,TRUE,Panama,Personal,20000000,0.78,19
TX030,1030,41000000,369000,20:45,2007,FALSE,Russia,Business,1500000,0.15,5
TX031,1031,64000000,1088000,07:45,5001,TRUE,India,Business,15500000,0.10,19
TX032,1032,161000000,1771000,07:22,9003,FALSE,Venezuela,Personal,18000000,0.07,19
TX033,1033,46000000,874000,07:53,9006,FALSE,Brazil,Personal,13000000,0.73,17
TX034,1034,173000000,2595000,02:34,7001,FALSE,Panama,Personal,4500000,0.65,19
TX035,1035,13000000,156000,01:51,6001,TRUE,Indonesia,Personal,8500000,0.90,4
TX036,1036,170000000,1020000,04:17,8005,FALSE,Lebanon,Business,3000000,0.28,10
TX037,1037,158000000,2686000,15:12,2005,FALSE,Lebanon,Business,17500000,0.77,20
TX038,1038,67000000,402000,10:42,2004,FALSE,Nigeria,Business,14000000,0.67,14
TX039,1039,186000000,3162000,02:12,10002,TRUE,Venezuela,Personal,10500000,0.89,6
TX040,1040,149000000,1341000,19:58,9007,FALSE,Venezuela,Personal,5500000,0.34,13
TX041,1041,96000000,960000,18:03,5008,FALSE,United Arab Emirates (UAE),Personal,12000000,0.40,16
TX042,1042,166000000,1162000,02:43,4004,TRUE,Iran,Business,9000000,0.05,0
TX043,1043,119000000,1309000,18:44,9003,TRUE,Lebanon,Personal,1500000,0.21,7
TX044,1044,91000000,1547000,18:26,3004,TRUE,Sweden,Business,2000000,0.41,11
TX045,1045,21000000,126000,04:19,2004,FALSE,Thailand,Personal,14500000,0.90,7
TX046,1046,114000000,1824000,12:41,9007,FALSE,Lebanon,Business,15500000,0.76,0
TX047,1047,153000000,2907000,16:44,10009,TRUE,Turkey,Business,14000000,0.60,2
TX048,1048,75000000,450000,16:44,5006,TRUE,Panama,Business,8000000,0.68,8
TX049,1049,177000000,2124000,23:39,7004,TRUE,Russia,Business,7500000,0.96,2
TX050,1050,10000000,150000,04:54,6002,FALSE,Zimbabwe,Personal,2000000,0.38,9
TX051,1051,38000000,190000,06:58,3005,FALSE,Myanmar,Business,18500000,0.12,17
TX052,1052,121000000,1573000,07:15,5009,FALSE,United Arab Emirates (UAE),Personal,12000000,0.60,1
TX053,1053,47000000,658000,01:59,9009,FALSE,Syria,Personal,11500000,0.97,20
TX054,1054,127000000,1270000,08:03,10003,FALSE,Lebanon,Business,19500000,0.34,5
TX055,1055,52000000,832000,03:07,8002,TRUE,Venezuela,Personal,4000000,0.89,6
TX056,1056,198000000,3366000,23:27,7009,TRUE,Germany,Personal,8500000,0.38,8
TX057,1057,152000000,1216000,12:35,5008,FALSE,Syria,Business,7000000,0.36,18
TX058,1058,169000000,2535000,14:18,9003,FALSE,Nigeria,Personal,10000000,0.69,15
TX059,1059,13000000,156000,12:01,10007,TRUE,Cayman Islands,Business,18000000,0.63,14
TX060,1060,15000000,180000,19:04,5002,TRUE,Mexico,Business,9000000,0.29,15
TX061,1061,97000000,970000,19:32,3003,TRUE,Cayman Islands,Business,4000000,0.05,6
TX062,1062,174000000,3132000,11:15,6001,FALSE,Russia,Business,10500000,0.06,14
TX063,1063,155000000,1240000,05:08,6002,FALSE,North Korea,Business,7000000,0.70,15
TX064,1064,96000000,1824000,04:42,5006,FALSE,South Africa,Personal,17500000,0.57,2
TX065,1065,66000000,1320000,15:00,9004,TRUE,Lebanon,Business,12500000,0.82,19
TX066,1066,51000000,408000,17:17,9005,FALSE,Russia,Personal,18000000,0.37,17
TX067,1067,199000000,1592000,13:55,8008,TRUE,Panama,Business,10000000,0.85,6
TX068,1068,113000000,2260000,02:17,8009,TRUE,Mexico,Business,10000000,0.67,3
TX069,1069,62000000,1054000,07:20,8007,TRUE,Russia,Business,5500000,0.33,19
TX070,1070,9000000,153000,11:57,5006,FALSE,Russia,Business,17500000,0.52,20
TX071,1071,166000000,2656000,13:33,6001,FALSE,North Korea,Personal,14500000,0.37,1
TX072,1072,28000000,336000,12:47,9006,TRUE,Lebanon,Business,13000000,0.51,7
TX073,1073,43000000,344000,12:18,6006,TRUE,Russia,Business,16500000,0.45,0
TX074,1074,108000000,2160000,07:45,6002,TRUE,Mexico,Business,5000000,0.86,19
TX075,1075,183000000,3294000,22:55,10002,TRUE,Brazil,Business,17000000,1.00,12
TX076,1076,70000000,1330000,12:13,6009,FALSE,Myanmar,Business,10500000,0.91,2
TX077,1077,190000000,1140000,19:17,5007,TRUE,Germany,Business,15000000,0.72,9
TX078,1078,189000000,3213000,22:53,8009,TRUE,Myanmar,Business,19500000,0.92,1
TX079,1079,124000000,620000,12:08,9001,FALSE,Turkey,Business,5000000,0.36,14
TX080,1080,73000000,511000,11:07,7005,FALSE,Venezuela,Personal,13000000,0.71,16
TX081,1081,173000000,2076000,13:51,4009,FALSE,Lebanon,Business,9500000,0.47,11
TX082,1082,90000000,900000,17:33,2008,FALSE,United Arab Emirates (UAE),Business,18000000,0.32,17
TX083,1083,20000000,340000,21:35,2008,TRUE,Cayman Islands,Business,3500000,0.35,7
TX084,1084,37000000,407000,16:42,5006,TRUE,Nigeria,Personal,10000000,0.53,10
TX085,1085,169000000,1352000,04:00,6008,TRUE,Syria,Business,14500000,0.75,19
TX086,1086,87000000,870000,22:53,5004,TRUE,Mexico,Business,12500000,0.42,15
TX087,1087,48000000,480000,06:10,6002,TRUE,Kenya,Business,13000000,0.80,12
TX088,1088,162000000,1782000,11:01,7002,FALSE,Syria,Business,16500000,0.36,20
TX089,1089,96000000,576000,07:06,4008,TRUE,Pakistan,Business,3500000,0.89,16
TX090,1090,51000000,867000,23:26,3007,TRUE,Russia,Personal,11000000,0.04,15
TX091,1091,186000000,2046000,04:27,9008,TRUE,North Korea,Business,13500000,0.21,6
TX092,1092,168000000,840000,21:04,4004,TRUE,Panama,Personal,4000000,0.85,18
TX093,1093,175000000,1225000,17:17,8005,FALSE,Panama,Personal,18500000,0.15,7
TX094,1094,99000000,1881000,08:36,4005,FALSE,United Kingdom,Business,16000000,0.67,0
TX095,1095,13000000,169000,09:45,2009,TRUE,United Arab Emirates (UAE),Personal,13000000,0.96,0
TX096,1096,115000000,1725000,02:25,9006,TRUE,Iran,Business,8000000,0.26,9
TX097,1097,195000000,3900000,13:33,2003,FALSE,Turkey,Personal,14500000,0.23,19
TX098,1098,139000000,973000,00:26,8005,TRUE,North Korea,Business,4000000,0.27,8
TX099,1099,57000000,1026000,10:15,7001,FALSE,Syria,Personal,18500000,0.67,19
TX100,1100,22000000,286000,14:09,3002,TRUE,Panama,Personal,3500000,0.49,17
TX101,1101,62000000,1054000,16:09,3008,TRUE,Myanmar,Personal,2000000,0.66,8
TX102,1102,5000000,75000,00:23,10003,TRUE,Australia,Business,18500000,0.48,2
TX103,1103,68000000,952000,07:29,3001,FALSE,United Kingdom,Business,5500000,0.47,4
TX104,1104,153000000,2295000,13:21,4005,TRUE,Zimbabwe,Personal,10000000,0.27,3
TX105,1105,134000000,1206000,13:17,8005,FALSE,Syria,Business,17000000,0.07,17
TX106,1106,194000000,3104000,00:45,3003,FALSE,South Africa,Personal,13000000,0.65,0
TX107,1107,85000000,510000,16:44,4004,FALSE,Venezuela,Business,4000000,0.94,11
TX108,1108,76000000,532000,09:09,7001,FALSE,United Arab Emirates (UAE),Business,19000000,0.54,0
TX109,1109,138000000,1242000,03:56,4002,TRUE,Iran,Personal,11000000,0.81,8
TX110,1110,32000000,480000,18:23,8002,TRUE,Myanmar,Business,17500000,0.17,1
TX111,1111,197000000,2561000,07:53,10003,FALSE,Afghanistan,Business,3500000,0.76,11
TX112,1112,31000000,248000,21:49,5007,FALSE,Panama,Business,13500000,0.37,6
TX113,1113,34000000,646000,06:31,3005,FALSE,Lebanon,Personal,4500000,0.73,8
TX114,1114,6000000,84000,10:56,2004,TRUE,Syria,Business,2500000,0.68,10
TX115,1115,77000000,385000,02:36,6002,FALSE,Pakistan,Personal,16000000,0.18,4
TX116,1116,174000000,870000,11:26,5005,TRUE,Venezuela,Business,12500000,0.79,2
TX117,1117,81000000,1377000,21:40,3004,FALSE,Syria,Personal,15000000,0.56,2
TX118,1118,64000000,1216000,03:49,6003,TRUE,Philippines,Personal,8500000,0.02,5
TX119,1119,191000000,2674000,18:17,9007,FALSE,Russia,Personal,11500000,0.13,10
TX120,1120,192000000,1344000,10:49,4006,TRUE,Russia,Personal,15500000,0.85,1
TX121,1121,127000000,1778000,22:11,3002,TRUE,Russia,Personal,16500000,0.32,13
TX122,1122,161000000,805000,11:02,9004,FALSE,Cayman Islands,Personal,16500000,0.44,9
TX123,1123,131000000,1048000,07:13,4003,TRUE,Pakistan,Business,10500000,0.58,8
TX124,1124,172000000,2580000,16:57,9009,FALSE,Panama,Business,9000000,0.77,19
TX125,1125,166000000,996000,07:29,4003,TRUE,Venezuela,Personal,14500000,1.00,20
